vjdbv0.3_field_id	vjdbv0.3_name	vjdbv0.3_description	vjdbv0.3_fields_type	vjdbv0.3_privacy	vjdbv0.2__field_id	vjdbv0.1_field_id	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	ena_submission_object_object_name	vjbd_submission_object_object_name	vjdbv0.3_group1	vjdbv0.3_group2	vjdbv0.3_group3	vjdbv0.3_tags	vjdbv0.3_input_source	vjdbv0.3_notes	vjdbv0.3_changes	vjdbv0.2_previous_changes	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ena_submission_requiredness	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation	vjdbv0.3_field_index	ictv40_i_field_name	vjdbv0.3_index
host_age_unit_submission	Host Age Unit	Unit that describes the host age. Is connected to Host Age. Should fit the number, e.g. 2 years	keyword	private	host_age_unit	host_age_unit												Sample	Clinical	Host	"[""Sample"", ""Clinical"", ""Host""]"	no source	These two private for submission, one field for public where it is combined and one for normalized values (also for filtering); 	remove																				days; years	Defined list of values, provided by the VJDB	combo	controlled_vocabulary	0gp		metadata
host_age_normalized	Host Age Normalized	Host Ages in a uniform unit, tba	keyword	internal																	[]	VJDB	Use for sorting by host age, and relevant for plotting; not sure																									0gq		metadata
host_age	Host Age	Host Age and Unit.	integer	public	host_age	host_age	host age						Host Age	host age	host age	ENA Sample	VJDB Sample	Sample	Clinical	Host	"[""ENA"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical"", ""Host""]"	BVBRC	Seperation of values good for submission, display should be in one, needs curation from ENA values, seperate Fields for submission?; 							Host Info		host_age	string_ci			(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees (Units: years)			"(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees Units: 
"		TEXT_FIELD	recommended	recommended	37 years	Free text	text	unique	0gr		metadata
lab_passaged	Lab Passaged	Indicator that sequences came from samples from a laboratory setting, and not from a wild host.	keyword	public														Virus			"[""Virus""]"		not sure																									0gs		metadata
ncbi_taxon_lineage_ids	NCBI Lineage IDs	BVBRC NCBI TaxIDs of the lineage	integer list	public									Taxon Lineage IDs					Organizational	Submission	NCBI Taxonomy	"[""BV-BRC"", ""Organizational"", ""Submission"", ""NCBI Taxonomy""]"	BVBRC	no example needed	add|we will add NCBI Tax Names from the NCBI Taxonomy DB later						Taxonomy Info	Taxonomy	taxon_lineage_ids	string		add; we will add NCBI Tax Names from the NCBI Taxonomy DB later											text	freetext	0gt		metadata
ncbi_taxon_lineage_names	NCBI Lineage Names	Aggregation of the NCBI Taxonomy Names of the virus lineage.	keyword	public									Taxon Lineage Names							NCBI Taxonomy	"[""BV-BRC"", ""NCBI Taxonomy""]"	BVBRC	no example needed						Taxonomy Info	Taxonomy	taxon_lineage_names	string																0gu		metadata
ictv_taxon_lineage_names	ICTV Lineage Names	Aggregation of the ICTV Taxonomy Names of the virus lineage.	keyword	public																ICTV Taxonomy	"[""ICTV Taxonomy""]"		no example needed																									0gv		metadata
is_ictv_exemplar	ICTV Exemplar	This accession was used to define a species in the ICTV Taxonomy.	boolean	private																	[]	ICTV	no example needed																									0gw		metadata
is_viralzone	ViralZone Page	There is one page in Viralzone for this Taxon ID	boolean	internal																	[]	ViralZone																										0gx		metadata
ictv_host_group	ICTV Host Group	The ICTV Host source field content to be combined with other host group data from the other sources.	keyword	public															Host		"[""Host""]"	ICTV																										0gy	Host source	metadata
ictv_id	ICTV ID 	ICTV ID from Master_Species_List file	keyword	public																ICTV Taxonomy	"[""ICTV Taxonomy""]"	ICTV																										0gz	ICTV_ID	metadata
ictv_virus_name	ICTV Virus name	Commonly used virus name (or names separated by a semi-colon).	keyword	public																ICTV Taxonomy	"[""ICTV Taxonomy""]"	ICTV																										0ha	Virus name(s)	metadata
bvbrc_host_age	BV-BRC Host Age	Host Age and Unit.	keyword	public									Host Age					Sample	Clinical	Host	"[""BV-BRC"", ""Sample"", ""Clinical"", ""Host""]"	BVBRC	Seperation of values good for submission, display should be in one, needs curation from ENA values, seperate Fields for submission?							Host Info		host_age	string_ci															0hb		metadata
taxonomy_tree_hash	Hash content for the rank in taxonomy tree		keyword	internal																	[]	VJDB																										0hc		metadata
current_virjen_version	Current VirJenDB version	A flag that indicates if the record is the latest update in VirJenDB database	boolean	internal																	[]	VJDB																										0hd		metadata
updated_fields	Updated Fields 	The list of the fields and their content when they are updated in each release in compare to the previous version	array of objects	internal																	[]	VJDB																										0he		metadata
analysis_title	Analysis Title	Clear and useful title to identify the analysis of your sequencing experiment. This title will not be submitted to the ENA on submission.		private													VJDB Analysis				"[""VJDB Analysis""]"		no example needed																									0hf		metadata
host_gtdb_taxid	Host GTDB TaxID			public															Host	GTDB	"[""Host"", ""GTDB""]"	GTDB																										0hg		metadata
genome_sequence	Genome Sequence			internal																	[]	NCBI Virus|BVBRC | GTDB																										0hh		sequence
genome_hash	Genome Sequence hash SHA256 			internal																	[]	VJDB																										0hi		sequence
