vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,rki_field_id,migs-vi_field_id,migs-uvig_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,vjdb_example,ictv40_i_field_name
host_common_name,Host Common Name,"Common name of the host the virus sequence was collected from, e.g. human. Currently (v1.0) no ontology is applied.",text,N/A,N/A,N/A,Host,Host Common Name,host common name,host common name,N/A,N/A,N/A,N/A,"['ENA', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Taxonomy']",NCBI Virus|BVBRC,N/A,N/A,"The host organism from which the virus was isolated. This is the submitter-provided host organism, not the full host range known for the virus. For more information, see Glossary: Host.",N/A,N/A,Host Info,N/A,host_common_name,string_ci,N/A,N/A,"(Mandatory) Common name of the host, e.g. human",N/A,N/A,"(Mandatory) Common name of the host, e.g. human",N/A,TEXT_FIELD,human,N/A
sequence_length,Sequence Length,Length of the virus sequence in basepairs (bp).,integer,N/A,N/A,N/A,Length,Size,N/A,N/A,sequence_length,sequence_length,sequence_length,N/A,"['NCBI Virus', 'BV-BRC', 'IMG/VR', 'PHD', 'PhiSpy', 'Sample', 'Sequence', 'Workflows']",NCBI Virus|BVBRC,Is sequence in the name needed? Length to generic -> Sequence Length (consideration for other data layers); ,N/A,"Sequence length, the number of nucleotides or amino acids in the sequence.",N/A,N/A,Genome Statistics,Genome Statistics,genome_length,int,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10201,N/A
molecule_type,Molecule Type,"Molecule type of the sequence, e.g. ssRNA. Note that there are 15 molecule types corresponding to combinations of the Baltimore Classifications, from NCBI GenBank.",keyword,N/A,N/A,N/A,Molecule_type,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'NCBI Virus', 'Sample', 'Virus Info']",NCBI Virus,Should be curated into Baltimore classes; Is this a sequence attribute or sample or both? Represent in naming?; ,N/A,"Genome molecule type, type of viral nucleic acid, as provided by ICTV. For more information, see Glossary: Genome Molecule Type.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ssRNA(+),N/A
genome_completeness,Genome Completeness,Wether the sequence is a partial or complete sequence in NCBI GenBank.,keyword,N/A,N/A,N/A,Nuc_Completeness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Sample', 'Sequence', 'Workflows']",NCBI Virus,N/A,N/A,"Indicates if the nucleotide sequence is complete or partial. Nucleotide sequences are considered complete, if they were submitted as such to GenBank or other INSDC databases. For more information, see Glossary: Nucleotide Completeness.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,partial; complete,N/A
organism_name,Organism Name,NCBI GenBank organism name: a taxonomic name at species level or below the species level.,text,N/A,N/A,N/A,Organism_Name,N/A,N/A,N/A,N/A,organism_name,N/A,N/A,"['NCBI Virus', 'PHD', 'Sample', 'Virus Info']",NCBI Virus,"technically sample species or below, take as it is until curation; ",sample_organism_name,"Gen Bank organism name, a taxonomic name at species level or below the species level.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),N/A
submitter_organization,Submitter Organization,Organization the submitter(s) is(are) affiliated with.,text,N/A,N/A,N/A,Organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Organizational', 'VJDB Study', 'Submission']",NCBI Virus,N/A,N/A,"Organization or institution the sequence submitters affiliated with, as well as country or location of the organization.",N/A,may need to split Organization to submitter_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"National Center for Biotechnology Information, NIH",N/A
release_date,Release Date,"Date when the sequence was made public in a repository (e.g. GenBank, BV-BRC).",date,SEQUENCE. PUSHED_TO_DWH,N/A,N/A,Release_Date,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['RKI', 'NCBI Virus', 'Organizational', 'Sequence']",NCBI Virus,N/A,"update definition (genbank, bvbrc)",The date when the sequence was released in the GenBank.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-05-20,N/A
segment_name,Segment Name,Name of the virus segment. Can be a number.,text,N/A,N/A,N/A,Segment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Sample', 'Sequence']",NCBI Virus,N/A,N/A,"Segment name or number representing a genome segment. For more information, see Clossary: Segment.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,spike; 1; whole genome,N/A
sra_accession,SRA Accession,NCBI Sequence Read Archive (SRA) Accession.,keyword,N/A,N/A,N/A,SRA_Accession,SRA Accession,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'Organizational', 'Identifiers']",NCBI Virus|BVBRC,no example needed,N/A,NCBI Sequence Read Archive (SRA) accession number.,N/A,N/A,DB Cross Reference,N/A,sra_accession,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
submitter,Submitter,Name(s) of the submitter(s) of the virus sequence.,text,N/A,N/A,N/A,Submitters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Organizational', 'VJDB Study', 'Submission']",NCBI Virus,N/A,N/A,Authors who submitted the sequences.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zuckerman,N., Mandelboim,M.",N/A
collection_source_host_tissue,Collection Source Host Tissue,"Tissue, Specimen or Source of the superhost from which the sample the virus sequence originates from was collected or sampled.",text,SEQUENCE. SAMPLE_TYPE; different vocabulary,env_medium? more or less,N/A,Tissue_Specimen_Source,N/A,isolation source host-associated,isolation source host-associated,N/A,N/A,N/A,N/A,"['ENA', 'RKI', 'MIGS-VI', 'NCBI Virus', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus,"Plan about sources and vocabularies, RKI different from ENA, what about NCBI and environmental, leave it like that for now with NCBi input; ",collection_source_host_associated,"Isolation source, part of the host organism, where the sample was obtained. For more information, see Glossary: Tissue/Specimen/Source.",N/A,split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue,N/A,N/A,(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue,N/A,TEXT_FIELD,brain; water; venom gland,N/A
bv_brc_accession,BV-BRC Accession,Accession of the sequence in the BV-BRC database.,keyword,N/A,N/A,N/A,N/A,Genome ID,N/A,N/A,N/A,N/A,N/A,N/A,"['BV-BRC', 'Organizational', 'Identifiers']",BVBRC,no example needed,Change id and name to BVBRC_genome_id,N/A,N/A,N/A,General Info,N/A,genome_id,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bv_brc_host_group,BV-BRC Host Group,The host's broader group association in a taxonomic context from BV-BRC.,text,N/A,N/A,N/A,N/A,Host Group,N/A,N/A,N/A,N/A,N/A,N/A,"['BV-BRC', 'Host', 'Host Info']",BVBRC,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_group,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vertebrates; plants,N/A
host_species,Host Species,The scientific species name of the sampled host.,text,N/A,specific_host,N/A,N/A,Host Name,host scientific name,host scientific name,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Info']",BVBRC,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_name,string_ci,N/A,they are not all scientific names,(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.,N/A,N/A,(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.,N/A,TEXT_FIELD,homo sapiens,N/A
host_ncbi_tax_id,Host NCBI Tax ID,The host sequence NCBI Taxonomy ID. Can be based on the mapping by GTDB of the GTDB Species Name to the NCBI Taxonomy ID.,keyword,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,host_ncbi_tax_id,host_ncbi_tax_id,host_ncbi_tax_id,N/A,"['MIGS-VI', 'IMG/VR', 'PHD', 'PhiSpy', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Taxonomy', 'NCBI Taxonomy']",GTDB,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Scientific name of the laboratory host used to propagate the source organism from which the sample was obtained,N/A,TEXT_FIELD,9606,N/A
bvbrc_host_sex,BVBRC Host Sex,Sex of the sampled host from the BV-BRC.,text,N/A,N/A,N/A,N/A,Host Gender,host sex,host sex,N/A,N/A,N/A,N/A,"['ENA', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",BVBRC,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_gender,string_ci,N/A,N/A,(Mandatory) Gender or sex of the host.,N/A,N/A,(Mandatory) Gender or sex of the host.,N/A,TEXT_CHOICE_FIELD,female; hermaphrodite,N/A
bv_brc_sequence,BV-BRC Sequence,Flag indicating if this virus sequence is available in BV-BRC.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Source', 'Flags']",VJDB,N/A,add is_bvbrc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,N/A
pangolin_lineage,Pangolin Lineage,Lineage determined by Pangolin.,integer,PANGOLIN. LINEAGE_LATEST,N/A,N/A,N/A,Lineage,N/A,N/A,N/A,N/A,N/A,N/A,"['RKI', 'BV-BRC', 'Analysis', 'Sequence']",NCBI Virus|BVBRC,"depends on how to treat RKI data, they have pangolin leange in json format that includes version and also method information, we could either include that (bad readabiliy, or splt the relevant information for these fields)",N/A,N/A,N/A,N/A,Type Info,N/A,lineage,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_speciestax_id,NCBI SpeciesTax ID,The virus species NCBI Taxonomy ID.,keyword,N/A,samp_taxon_id,N/A,N/A,NCBI Taxon ID,taxon_id,taxon_id,sample_ncbi_tax_id,sample_ncbi_tax_id,sample_ncbi_tax_id,ncbi_tax_id,"['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'IMG/VR', 'PHD', 'PhiSpy', 'GTDB', 'Taxonomy', 'ENA Sample', 'VJDB Sample', 'Identifiers', 'NCBI Taxonomy']",BVBRC,Taxonomy Descision; ,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,taxon_id,int,N/A,N/A,(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.,N/A,N/A,(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.,N/A,TEXT_FIELD,197911,N/A
average_depth,Average Depth,Average sequencing depth across the sequence from BVBRC.,integer,N/A,N/A,N/A,N/A,Sequencing Depth,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'BV-BRC', 'Analysis', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_depth,string_ci,N/A,average,N/A,N/A,N/A,N/A,N/A,N/A,12.0x,N/A
gc_content,GC Content,Percentage of G and C nucleotides in the sequence from BVBRC.,keyword,N/A,N/A,N/A,N/A,GC Content,N/A,N/A,N/A,N/A,N/A,N/A,"['BV-BRC', 'Analysis', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,N/A,N/A,N/A,Genome Statistics,Genome Statistics,gc_content,float,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.355248,N/A
sequencing_center,Sequencing Center,Institution that sequenced the collected sample.,keyword,N/A,N/A,N/A,N/A,Sequencing Center,N/A,N/A,N/A,N/A,N/A,N/A,"['BV-BRC', 'Organizational', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_centers,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,US Food and Drug Administration,N/A
platform,Platform,Instrument platform used for sequencing the virus; multiple values are seperated by a semicolon (only for assemblies).,text,SEQUENCE. SEQUENCING_METHOD,N/A,N/A,N/A,Sequencing Platform,platform,platform,N/A,N/A,N/A,N/A,"['ENA', 'RKI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Sequence', 'Workflows']",BVBRC,N/A,N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_platform,string_ci,N/A,N/A,(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.,N/A,N/A,(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.,N/A,TEXT_CHOICE_FIELD,CAPILLARY,N/A
sequence_source,Sequence Source,"The name of the source database or tool by which the virus sequence was added in VirJenDB; in the case of PhiSpy-predicted prophages, the value is PhiSpy.",keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Organizational', 'Source']",VJDB,not sure,"change id and name to source_metadata_db, update definition",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
submitter_country,Submitter Country,Country of the submitter's organization.,integer,N/A,N/A,N/A,Org_location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Sample', 'VJDB Study', 'Submission']",NCBI Virus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Germany,N/A
submitter_region,Submitter Region,Region or location of the organization of the submitters.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Submission']",NCBI Virus,not sure,split organization to submitter_region,N/A,N/A,may need to split Organization to submitter_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
virjendb_accession,VirJenDB Accession,"Unique identifier of the virus sequence, assigned by VirJenDB.",keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Organizational', 'Source', 'Identifiers']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10580360,N/A
virjendb_metadata_version,VirJenDB Metadata Version,"Version of the virus sequence record, including metadata, assigned by VirJenDB.",keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Organizational', 'Source']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
strain,Strain,Name of the virus strain associated with the sample from which the virus sequence was obtained.,text,N/A,N/A,N/A,N/A,Strain,strain,strain,N/A,N/A,N/A,N/A,"['BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Virus Info']",BVBRC,not sure,N/A,N/A,N/A,N/A,N/A,N/A,strain,N/A,N/A,N/A,(Optional) Name of the strain from which the sample was obtained.,N/A,N/A,(Optional) Name of the strain from which the sample was obtained.,N/A,TEXT_FIELD,N/A,N/A
ictv_realm,ICTV Realm,A 'Realm' is the highest taxonomic rank into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_realm,ictv_realm,ictv_realm,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Realm
ictv_kingdom,ICTV Kingdom,A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_kingdom,ictv_kingdom,ictv_kingdom,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kingdom
ictv_phylum,ICTV Phylum,A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_phylum,ictv_phylum,ictv_phylum,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Phylum
ictv_subphylum,ICTV Subphylum,A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subphylum,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subphylum
ictv_class,ICTV Class,A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_class,ictv_class,ictv_class,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Class
ictv_order,ICTV Order,A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_order,ictv_order,ictv_order,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Order
ictv_suborder,ICTV Suborder,A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_suborder,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Suborder
ictv_family,ICTV Family,A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_family,ictv_family,ictv_family,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Family
ictv_subfamily,ICTV Subfamily,A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subfamily,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subfamily
ictv_genus,ICTV Genus,A 'Genus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_genus,ictv_genus,ictv_genus,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genus
ictv_subgenus,ICTV Subgenus,A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subgenus,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subgenus
ictv_species,ICTV Species,"A Species is the lowest taxonomic rank in the hierarchy approved by the ICTV. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the ICTV does not classify viruses below the species level. Defined by the ICTV.",text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_species,ictv_species,ictv_species,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,Taxonomy Descision; no example needed,tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Species
ncbi_realm,NCBI Realm,A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_realm,N/A,N/A,"['PHD', 'Sample', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_kingdom,NCBI Kingdom,A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,Kingdom,N/A,N/A,N/A,ncbi_kingdom,N/A,N/A,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,Taxonomy Info,Taxonomy,kingdom,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_phylum,NCBI Phylum,A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,Phylum,N/A,N/A,N/A,ncbi_phylum,N/A,N/A,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,Taxonomy Info,Taxonomy,phylum,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_subphylum,NCBI Subphylum,A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subphylum,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_class,NCBI Class,A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,Class,N/A,N/A,N/A,ncbi_class,N/A,N/A,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,Taxonomy Info,Taxonomy,class,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_order,NCBI Order,A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,Order,N/A,N/A,N/A,ncbi_order,N/A,N/A,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,Taxonomy Info,Taxonomy,order,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_suborder,NCBI Suborder,A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_suborder,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_family,NCBI Family,A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,Family,Family,N/A,N/A,N/A,ncbi_family,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Virus|BVBRC,Taxonomy Descision; no example needed,N/A,"Family name, as identified by NCBI Taxonomy.",N/A,N/A,Taxonomy Info,Taxonomy,family,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_subfamily,NCBI Subfamily,A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subfamily,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_genus,NCBI Genus,A 'Genus' is a rank in the taxonomic hierarchy into which virus a sequence can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,Genus,Genus,N/A,N/A,N/A,ncbi_genus,N/A,N/A,"['NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Virus|BVBRC,Taxonomy Descision; no example needed,N/A,"Genus name, as identified by NCBI Taxonomy.",N/A,N/A,Taxonomy Info,Taxonomy,genus,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
