vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index,ictv40_i_field_name,vjdbv0.3_index,vjdbv0.3_search_method,vjdbv0.3_default_search
gravidity,Gravidity,"Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gravidity,gravidity,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",N/A,N/A,"(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",N/A,TEXT_FIELD,optional,optional,"no: yes, post-conception date 2020-05-07","yes/no, if yes provide post conception date or date due with carification which one it is(!)",text,freetext,0dw,N/A,metadata,no ,N/A
hospitalisation,Hospitalisation,Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,hospitalisation,hospitalisation,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,N/A,N/A,(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,N/A,TEXT_CHOICE_FIELD,optional,optional,yes; no,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0dx,N/A,metadata,no ,N/A
host_description,Host Description,Other descriptive information relating to the host.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host description,host description,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Other descriptive information relating to the host.,N/A,N/A,(Optional) Other descriptive information relating to the host.,N/A,TEXT_FIELD,optional,optional,N/A,Free text,textarea,freetext,0dy,N/A,metadata,no ,N/A
illness_duration,Illness Duration,The number of days the illness lasted. example: 4,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,illness duration,illness duration,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) The number of days the illness lasted. example: 4,N/A,N/A,(Optional) The number of days the illness lasted. example: 4,N/A,TEXT_FIELD,optional,optional,4,Whole number value,text,unique,0dz,N/A,metadata,no ,N/A
illness_onset_date,Illness Onset Date,Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,illness onset date,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20,N/A,N/A,N/A,N/A,N/A,optional,optional,2011-10-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,0ea,N/A,metadata,no ,N/A
illness_symptoms,Illness Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,illness symptoms,illness symptoms,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",N/A,N/A,"(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",N/A,TEXT_AREA_FIELD,optional,optional,fever; headache; malaise; myalgia; nausea; runny_nose,"Free text, symptoms seperated by semicolon",text,freetext,0eb,N/A,metadata,no ,N/A
influenza_strain_unique_number,Influenza Strain Unique Number,"Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza strain unique number,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411",N/A,N/A,N/A,N/A,N/A,optional,optional,411,Whole number value,text,unique,0ec,N/A,metadata,no ,N/A
influenza_vaccination_date,Influenza Vaccination Date,Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza vaccination date,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12,N/A,N/A,N/A,N/A,N/A,optional,optional,2007-05-12,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,0ed,N/A,metadata,no ,N/A
influenza_vaccination_type,Influenza Vaccination Type,Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza vaccination type,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist,N/A,N/A,N/A,N/A,N/A,optional,optional,2009 h1n1 flumist,Free text,text,freetext,0ee,N/A,metadata,no ,N/A
influenza_like_illness_at_the_time_of_sample_collection,Influenza-like Illness at the Time of Sample Collection,Is the subject at the time of sample collection considered to have influenza like illness?,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza-like illness at the time of sample collection,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Is the subject at the time of sample collection considered to have influenza like illness?,N/A,N/A,N/A,N/A,N/A,optional,optional,yes; no,"Defined list of values, provided by the ENA",text,freetext,0ef,N/A,metadata,no ,N/A
inoculation_dose,Inoculation Dose,Dose used for the inoculoation experiment.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inoculation dose,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dose used for the inoculoation experiment.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,0eg,N/A,metadata,no ,N/A
inoculation_route,Inoculation Route,Brief description of the protocol inoculation route.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inoculation route,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Brief description of the protocol inoculation route.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,0eh,N/A,metadata,no ,N/A
inoculation_stock_availability,Inoculation Stock Availability,Is the virus stock used for the inoculation available?,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inoculation stock availability,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Is the virus stock used for the inoculation available?,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,combo,controlled_vocabulary,0ei,N/A,metadata,no ,N/A
lineage_swl,Lineage: SWL (Required for H1N1 Viruses),Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lineage:swl (required for H1N1 viruses),N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Analysis,Clinical ,N/A,"['ENA ERC32', 'Analysis', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,combo,controlled_vocabulary,0ej,N/A,metadata,no ,N/A
meaning_of_cut_off_value,Meaning of Cut Off Value,Description helping to explain what the cut off value means.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,meaning of cut off value,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Description helping to explain what the cut off value means.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,0ek,N/A,metadata,no ,N/A
number_of_inoculated_individuals,Number of Inoculated Individuals,Number of host individuals inoculated for the experiment.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,number of inoculated individuals,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Number of host individuals inoculated for the experiment.,N/A,N/A,N/A,N/A,N/A,optional,optional,5,Whole number value,text,unique,0el,N/A,metadata,no ,N/A
personal_protective_equipment,Personal Protective Equipment,"Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,personal protective equipment,personal protective equipment,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",N/A,N/A,"(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",N/A,TEXT_FIELD,optional,optional,mask,"Free text, multiple values seperated by semicolon",text,unique,0em,N/A,metadata,no ,N/A
sample_capture_status,Sample Capture Status,Reason for the sample collection.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sample capture status,sample capture status,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Reason for the sample collection.,N/A,N/A,(Recommended) Reason for the sample collection.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,active surveillance in response to outbreak; market sample,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0en,N/A,metadata,no ,N/A
sample_storage_conditions,Sample Storage Conditions,"Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sample storage conditions,sample storage conditions,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).",N/A,N/A,"(Optional) Conditions at which sample was stored, usually storage temperature, duration and location",N/A,TEXT_FIELD,optional,optional,N/A,Free text,text,freetext,0eo,N/A,metadata,no ,N/A
sample_description,Sample Description,"Free-form text describing the sample, its origin, and its method of isolation.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sample_description,sample_description,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Free-form text describing the sample, its origin, and its method of isolation.",N/A,N/A,"(Optional) Free-form text describing the sample, its origin, and its method of isolation.",N/A,TEXT_AREA_FIELD,optional,optional,N/A,Free text,textarea,freetext,0ep,N/A,metadata,no ,N/A
source_of_vaccination_information,Source of Vaccination Information,Designation of information related to vaccination history as self reported or documented.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,source of vaccination information,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Designation of information related to vaccination history as self reported or documented.,N/A,N/A,N/A,N/A,N/A,optional,optional,decoumented; self reported,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0eq,N/A,metadata,no ,N/A
strain,Strain,Name of the strain from which the sample was obtained.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strain,strain,strain,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Virus Info,N/A,"['BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Virus Info']",BVBRC,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,strain,N/A,N/A,N/A,(Optional) Name of the strain from which the sample was obtained.,N/A,N/A,(Optional) Name of the strain from which the sample was obtained.,N/A,TEXT_FIELD,optional,optional,N/A,Free text,text,freetext,0er,N/A,metadata,no ,N/A
study_abstract,Study Description,"Briefly describes the goals, purpose, and scope of the study.  this need not be listed if it can be inherited from a referenced publication.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,study_abstract,study_abstract,N/A,N/A,N/A,N/A,ENA Study,VJDB Study,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.",N/A,N/A,"(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.",N/A,TEXT_AREA_FIELD,optional,mandatory,N/A,Free text,textarea,freetext,0es,N/A,metadata,no ,N/A
subject_exposure,Subject Exposure,"Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,subject exposure,subject exposure,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",N/A,N/A,"(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",N/A,TEXT_FIELD,optional,optional,poultry; wild  bird,"Free text, multiple values seperated by semicolon",text,unique,0et,N/A,metadata,no ,N/A
subject_exposure_duration,Subject Exposure Duration,"Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,subject exposure duration,subject exposure duration,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)",N/A,N/A,"(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days",N/A,TEXT_FIELD,optional,optional,1 day; 0.33 days ,Decimal number value followed by an empty space and the unit(!). If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!),text,unique,0eu,N/A,metadata,no ,N/A
study_title,Study Title,"Clear and useful title of the study/ project, e.g. a title usable for a publication or the purpose of the project and its timeframe.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,ENA Study,VJDB Study,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Title of the study as would be used in a publication.,N/A,N/A,(Mandatory) Title of the study as would be used in a publication.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,0ev,N/A,metadata,no ,N/A
experiment_title,Experiment Title,Clear and useful title to identify the sequencing experiment. This title will not be submitted to the ENA on submission.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Experiment', 'VJDB Experiment', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.,N/A,N/A,(Optional) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,0ew,N/A,metadata,no ,N/A
sample_title,Sample Title,Clear and useful title to identify the sample the sequence originates from was collected/sampled. This title will not be submitted to the ENA on submission.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Organizational,Study,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Short text that can be used to call out sample records in search results or in displays.,N/A,N/A,(Mandatory) Short text that can be used to call out sample records in search results or in displays.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,0ex,N/A,metadata,no ,N/A
type_exposure,Type Exposure,"Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,type exposure,type exposure,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",N/A,N/A,"(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",N/A,TEXT_FIELD,optional,optional,backyard flock; confined animal feeding operation,"Free text, multiple values seperated by semicolon. If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!)",text,unique,0ey,N/A,metadata,no ,N/A
vaccine_dosage,Vaccine Dosage,Dosage of the vaccine taken by the host. example: 0.05 ml,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vaccine dosage,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dosage of the vaccine taken by the subject. example: 0.05 ml,N/A,N/A,N/A,N/A,N/A,optional,optional,0.05 ml,Decimal number value followed by an empty space and the unit(!),text,freetext,0ez,N/A,metadata,no ,N/A
vaccine_lot_number,Vaccine Lot Number,Lot number of the vaccine.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vaccine lot number,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Lot number of the vaccine.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,0fa,N/A,metadata,no ,N/A
vaccine_manufacturer,Vaccine Manufacturer,Manufacturer of the vaccine.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vaccine manufacturer,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Manufacturer of the vaccine.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,0fb,N/A,metadata,no ,N/A
who_clade,WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses),Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WHO/OIE/FAO clade (required for HPAI H5N1 viruses),N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2,N/A,N/A,N/A,N/A,N/A,optional,optional,2.2,Free text,text,freetext,0fc,N/A,metadata,no ,N/A
